model,n_cells,n_positive,base_rate,average_precision,roc_auc,precision@100,recall@100,lift@100,precision@500,recall@500,lift@500,precision@1000,recall@1000,lift@1000,precision@5000,recall@5000,lift@5000
gradient_boosting,7535808,780,0.00010350582180437719,0.0006531699108218442,0.8383813536404874,0.0,0.0,0.0,0.004,0.002564102564102564,38.64516923076923,0.003,0.0038461538461538464,28.983876923076924,0.0026,0.016666666666666666,25.119359999999997
logistic_regression,7535808,780,0.00010350582180437719,0.00057955729948717,0.8230744239794769,0.0,0.0,0.0,0.002,0.001282051282051282,19.322584615384613,0.001,0.001282051282051282,9.661292307692307,0.0022,0.014102564102564103,21.254843076923077
baseline_historical,7535808,780,0.00010350582180437719,0.0005181912247461843,0.8195362246829077,0.0,0.0,0.0,0.002,0.001282051282051282,19.322584615384613,0.002,0.002564102564102564,19.322584615384613,0.002,0.01282051282051282,19.322584615384613
baseline_segment_length,7535808,780,0.00010350582180437719,0.0001380908014307199,0.581187264027726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_random,7535808,780,0.00010350582180437719,0.00011076894468831157,0.5166696734783542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.001282051282051282,1.9322584615384615
